               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               1.072,              2.4953,              1.5995,             0.63174,             0.64403,             0.68863,             0.51493,                   0,                   0,                   0,            0.067036,          0.00033297,          0.00033297
                   1,             0.98372,              1.5692,              1.5019,             0.78692,             0.69098,             0.80372,              0.6028,                   0,                   0,                   0,            0.034003,          0.00063332,          0.00063332
                   2,             0.94772,              1.3107,              1.4698,             0.83823,             0.72028,             0.83286,             0.62591,                   0,                   0,                   0,          0.00093679,          0.00090067,          0.00090067
                   3,             0.94924,              1.2061,              1.4862,              0.8055,              0.7459,             0.83876,             0.62435,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                   4,             0.92552,              1.1042,              1.4597,             0.82384,             0.77115,             0.85597,              0.6483,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                   5,              0.8191,              1.0207,              1.4592,             0.81046,             0.77303,             0.85118,             0.63742,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                   6,             0.79783,             0.91461,              1.4413,             0.84728,             0.78229,             0.87749,             0.66852,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                   7,             0.78331,             0.86019,               1.428,             0.85479,              0.8003,             0.88884,             0.67966,                   0,                   0,                   0,            0.000703,            0.000703,            0.000703
                   8,             0.75578,             0.79446,              1.4058,             0.86029,             0.81074,             0.89692,             0.68937,                   0,                   0,                   0,           0.0006535,           0.0006535,           0.0006535
                   9,              0.7526,             0.75898,              1.3985,             0.84978,             0.82363,             0.90364,             0.69619,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  10,             0.75387,             0.74277,              1.3953,             0.85808,             0.82402,             0.90165,             0.69984,                   0,                   0,                   0,           0.0005545,           0.0005545,           0.0005545
                  11,             0.73388,             0.69329,              1.3841,             0.85819,             0.83261,             0.90957,             0.70893,                   0,                   0,                   0,            0.000505,            0.000505,            0.000505
                  12,             0.73096,             0.66916,              1.3753,             0.86878,             0.81133,             0.91032,             0.71405,                   0,                   0,                   0,           0.0004555,           0.0004555,           0.0004555
                  13,             0.71548,             0.62484,               1.361,             0.87382,             0.83074,             0.91376,             0.71797,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  14,             0.70537,             0.61728,              1.3572,             0.88171,             0.84191,             0.92192,             0.72585,                   0,                   0,                   0,           0.0003565,           0.0003565,           0.0003565
                  15,             0.69787,              0.5916,              1.3515,              0.8665,             0.85163,             0.92129,             0.72779,                   0,                   0,                   0,            0.000307,            0.000307,            0.000307
                  16,             0.69461,              0.5729,              1.3475,             0.86744,             0.86658,             0.92511,             0.73219,                   0,                   0,                   0,           0.0002575,           0.0002575,           0.0002575
                  17,             0.67762,             0.55321,              1.3302,             0.86039,              0.8601,             0.92444,             0.73461,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  18,             0.67685,             0.54511,              1.3341,             0.88364,             0.85885,             0.92642,             0.73783,                   0,                   0,                   0,           0.0001585,           0.0001585,           0.0001585
                  19,             0.66901,             0.52562,              1.3332,             0.88235,             0.85492,             0.92817,             0.74367,                   0,                   0,                   0,            0.000109,            0.000109,            0.000109
