               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0817,              2.5148,              1.6751,             0.67239,             0.68455,             0.72183,             0.53855,                   0,                   0,                   0,            0.067036,          0.00033297,          0.00033297
                   1,               0.987,              1.5404,              1.5765,             0.77281,               0.743,             0.82743,             0.61879,                   0,                   0,                   0,            0.034003,          0.00063332,          0.00063332
                   2,              0.9552,              1.2798,              1.5508,             0.79877,             0.76811,             0.84964,             0.64134,                   0,                   0,                   0,          0.00093679,          0.00090067,          0.00090067
                   3,             0.94967,              1.1904,               1.559,             0.83353,             0.75998,             0.85948,             0.65379,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                   4,             0.92741,              1.0762,              1.5216,             0.85391,             0.78354,             0.87713,             0.67118,                   0,                   0,                   0,           0.0008515,           0.0008515,           0.0008515
                   5,             0.84119,              1.0222,              1.5356,             0.79224,             0.76741,              0.8601,             0.65521,                   0,                   0,                   0,            0.000802,            0.000802,            0.000802
                   6,              0.8202,             0.91907,              1.5392,             0.82939,             0.77723,             0.87545,             0.67337,                   0,                   0,                   0,           0.0007525,           0.0007525,           0.0007525
                   7,             0.80549,             0.87222,              1.5185,             0.86199,             0.81144,             0.89666,             0.68949,                   0,                   0,                   0,            0.000703,            0.000703,            0.000703
                   8,              0.7798,             0.80446,              1.4938,             0.84588,             0.81565,             0.89669,             0.69314,                   0,                   0,                   0,           0.0006535,           0.0006535,           0.0006535
                   9,             0.77643,             0.76599,              1.4774,             0.87044,             0.83104,             0.90722,             0.71123,                   0,                   0,                   0,            0.000604,            0.000604,            0.000604
                  10,             0.77106,             0.73481,              1.4632,             0.86924,             0.83033,              0.9101,             0.71812,                   0,                   0,                   0,           0.0005545,           0.0005545,           0.0005545
                  11,              0.7457,             0.68395,              1.4558,             0.85577,             0.83744,             0.91123,             0.71355,                   0,                   0,                   0,            0.000505,            0.000505,            0.000505
                  12,              0.7397,             0.66347,              1.4461,             0.85438,             0.83997,             0.91647,             0.72943,                   0,                   0,                   0,           0.0004555,           0.0004555,           0.0004555
                  13,             0.72416,             0.62031,              1.4331,             0.86223,             0.85101,             0.92226,             0.73016,                   0,                   0,                   0,            0.000406,            0.000406,            0.000406
                  14,             0.71791,             0.61027,              1.4155,             0.86287,             0.85598,             0.92611,             0.73868,                   0,                   0,                   0,           0.0003565,           0.0003565,           0.0003565
                  15,              0.7108,             0.57991,              1.4154,             0.86342,             0.85576,             0.92448,             0.73141,                   0,                   0,                   0,            0.000307,            0.000307,            0.000307
                  16,             0.70667,             0.57054,              1.4103,             0.89311,             0.86228,             0.93419,             0.75257,                   0,                   0,                   0,           0.0002575,           0.0002575,           0.0002575
                  17,             0.68813,             0.54261,              1.3913,             0.87118,             0.86539,              0.9324,             0.75119,                   0,                   0,                   0,            0.000208,            0.000208,            0.000208
                  18,             0.68639,             0.53866,              1.3867,             0.87128,             0.87247,              0.9364,             0.75163,                   0,                   0,                   0,           0.0001585,           0.0001585,           0.0001585
                  19,             0.67762,             0.51602,              1.3858,              0.8854,             0.86354,             0.93731,             0.76001,                   0,                   0,                   0,            0.000109,            0.000109,            0.000109
